 tweet_id retweet_status
444 681193455364796417 "No data"
445 674737130913071104 "No data"
446 870063196459192321 False
447 692417313023332352 "No data"
448 743980027717509120 "No data"
449 667090893657276420 "No data"
450 668544745690562560 "No data"
451 834931633769889797 False
452 667119796878725120 "No data"
453 688828561667567616 "No data"
454 836989968035819520 False
455 714214115368108032 "No data"
456 666099513787052032 "No data"
457 867072653475098625 True
458 736010884653420544 "No data"
459 759197388317847553 False
460 829501995190984704 False
461 688547210804498433 "No data"
462 753655901052166144 "No data"
463 749064354620928000 "No data"
464 672239279297454080 "No data"
465 751456908746354688 "No data"
466 733460102733135873 "No data"
467 709042156699303936 "No data"
468 712085617388212225 "No data"
469 851591660324737024 False
470 666029285002620928 "No data"
471 683515932363329536 "No data"
472 818307523543449600 True
473 685973236358713344 "No data"
474 796387464403357696 False
475 780800785462489090 False
476 860563773140209665 False
477 701952816642965504 "No data"
478 796563435802726400 True
479 747885874273214464 "No data"
480 830956169170665475 False
481 685943807276412928 "No data"
482 793150605191548928 False
483 787397959788929025 False
484 675006312288268288 "No data"
485 699788877217865730 "No data"
486 678396796259975168 "No data"
487 758740312047005698 False
488 674051556661161984 "No data"
489 667524857454854144 "No data"
490 821421320206483457 True
491 696886256886657024 "No data"
492 668902994700836864 "No data"
493 793256262322548741 False
494 666786068205871104 "No data"
495 880935762899988482 False
496 778039087836069888 False
497 667806454573760512 "No data"
498 673295268553605120 "No data"
499 885984800019947520 False
500 708479650088034305 "No data"
501 695074328191332352 "No data"
502 668633411083464705 "No data"
503 817181837579653120 True
504 673576835670777856 "No data"
505 818536468981415936 False
506 671518598289059840 "No data"
507 888078434458587136 False
508 672591762242805761 "No data"
509 792394556390137856 False
510 840632337062862849 False
511 789280767834746880 True
512 832645525019123713 False
513 783334639985389568 False
514 667138269671505920 "No data"
515 874057562936811520 False
516 751598357617971201 "No data"
517 668967877119254528 "No data"
518 686947101016735744 "No data"
519 718454725339934721 "No data"
520 666293911632134144 "No data"
521 671729906628341761 "No data"
522 676215927814406144 "No data"
523 720389942216527872 "No data"
524 670093938074779648 "No data"
